Tên tiếng Việt,Tên khoa học,Tên đồng nghĩa,Họ thực vật,Công dụng,Phân bố,Mùa hoa quả
"Khôi trắng, Lài sơn",Ardisia gigantifolia Stapf,0,Myrsinaceae,"Chữa phong thấp đau nhức khớp xương, bán thân bất toại (cả cây). Mụn nhọt (Lá).","Hà Tây, Hoà Bình, Quảng Nam, Đà Nẵng, Kon Tum. Cây mọc tự nhiên trong rừng thưa ẩm ở độ cao 700-1500 m.",III-VI; 7-12 
"Lá hón, Săng bù, Lá nến gai, Ba soi lá bắc",Macaranga kurzii (Kuntze) Pax & Hoffm.,0,Euphorbiaceae,"Chữa đinh nhọt, phong thấp, đau nhức xương (thân rễ).","Bắc Cạn, Nghệ An, Hà Tĩnh, Kon Tum, Gia Lai, Lâm Đồng. Cây gỗ nhỏ, mọc rải rác trong rừng thứ sinh, ở độ cao 100-1700 m",0
"Hồng kích, Xương rắn, Xương rồng tàu",Euphorbia milii Des Moul. ,0,Thầu dầu (Euphorbiaceae),"Chữa lậu (Rễ). Xuất huyết tử cung (Hoa sắc uống). Nhọt và viêm mủ da, bỏng (Lá, thân giã đắp). Tiêu độc, đòn ngã tổn thương, viêm gan thuỷ thũng (Thân).",Cây trồng làm cảnh phổ biến khắp nơi ở Việt Nam. Nguồn gốc từ Madagasca.,I – XII
Lá diễn,Dicliptera chinensis (L.) Nees – Justicia chinensis L.,0,Acanthaceae,"Chữa cảm mạo, sốt cao, viêm phổi nhẹ, viêm ruột thừa cấp, viêm gan cấp, viêm kết mạc, viêm ruột, lỵ, phong thấp viêm khớp, đái ra dưỡng trấp. Dùng ngoài chữa lở sưng, rôm sảy, mụn nhọt, bỏng rạ.",Cây mọc tự nhiên khá phổ biến nơi bãi trống quanh làng bản.,XII-I
"Gai cua, Mùi cua, Lão thử lặc, Gai ma, Cà gai, Cà dại hoa vàng",Argemone mexicana L.,0,Papaveraceae,"Thuốc tẩy, gây nôn. Chữa giang mai, bệnh ngoài da (Hạt). Độc.","Cây mọc tự nhiên trên đất hoang quanh Hà Nội và các tỉnh đồng bằng Bắc bộ đến Thanh Hóa, Nghệ An.",II-V; 5-8
"Phân hùng có mụt, Ngũ vị sần",Kadsura verrucosa (Gagnep.) A.C.Sm. – Schisandra verrucosa Gagnep.,0,Schisandraceae,"Bệnh phụ nữ, sưng vú, khô sữa, hậu sản (Dây).","Lao Cai. Dây leo to, thân có mụt sần sùi, mọc rải rác trong rừng.",V-X
De lá mua.,Cinnamomum melastomaceum Kosterm. sec. Phamh.,0,Long Não (Lauraceae),"Chữa cảm lạnh, đau bụng (Vỏ).","Lâm Đồng, Cao Bằng, Quảng Nam, Đà Nẵng, Quảng Bình, Quảng Trị, Thừa Thiên Huế. Cây mọc tự nhiên rải rác trong rừng thường xanh, ở độ cao trên 1000 m.",III-IV
Rau diếp đắng,Crepidiastrum denticulatum (Houtt.) Pak & Kawano,"Ixeris denticulata (Houtt.) Nakai ex Stebbins, Brachyramphus ramosissimus Benth., Chondrilla denticulata (Houtt.) Poir.Công dụng: Chữa ghẻ lở, đái ra máu, viêm tuyến sữa, tuyến nước bọt, tuyến vú cấp tính, viêm ruột thừa.",,"Chữa ghẻ lở, đái ra máu, viêm tuyến sữa, tuyến nước bọt, tuyến vú cấp tính, viêm ruột thừa.Họ thực vật: Cúc – Asteraceae",Lào Cai (Sa Pa).,"Hoa tháng 5 – 6, quả tháng 6 – 10. "
"Hoa tím, Hoa bướm, Bjooc xẳm (Tày)",Viola odorata L.,0,Violaceae,"Toàn cây chữa viêm phế quản, ho, viêm đường tiêu hóa và đường tiết niệu, sốt phát ban, đau dạ dày và hành tá tràng, viêm họng; dùng ngoài chữa nẻ vú. Dịch của lá làm thuốc tẩy.","Lâm Đồng, Sài Gòn. Cây trồng.",V-VI
"Hải đồng nhiều hoa, Cườm thảo",Pittosporum floribundum Wight et Arn.,0,Pittosporaceae,"Chữa thấp khớp, đau ngực (Vỏ).","Kon Tum (Đắk Glei). Cây mọc tự nhiên rải rác trong rừng thứ sinh, ở độ cao 1.600-1.800 m.",III
Su su,Sechium edule (Jacq.) Sw. – Sicyos edulis Jacq.,0,Cucurbitaceae,"Tiêu thũng, bệnh ngoài da (Lá).","Lao Cai, Hà Giang, Lai Châu, Sơn La, Vĩnh Phúc (Tam Đảo). Cây trồng.",III-X; 4-12
"Mưa cưa, Cơm nguội cứng",Ardisia rigida Kurz,0,Myrsinaceae,Dùng cho phụ nữ sau khi sinh (Lá).,"Khánh Hòa, Bình Dương. Cây mọc tự nhiên rải rác trong rừng.",III-VIII; 4-9 
Thu hải đường lá xẻ,Begonia pedatifida Levl.,0,Begoniaceae,"Tan huyết, phong hoạt huyết, thuỷ thũng, đái ra máu, đòn ngã, rắn cắn (cả cây).","Lào Cai (Sa Pa). Cây mọc rải rác trong rừng, dựa khe suối, nơi ẩm, ở độ cao 1800 m.",9-11
Cỏ xước nước,Centrostachys aquatica (R.Br.) Moq. – Achysanthes aquatica R.Br.,0,Họ thực vật: Dền (Amaranthaceae),"Thông kinh, bạch đới, khí hư (cả cây).","Đồng bằng sông Cửu Long. Cây mọc tự nhiên dựa bờ rạch, ruộng ngập, chỗ ẩm ướt.",III-V
"Rau chân vịt, Rau bờ ruộng, Mạch thượng thái",Lindernia procumbens (Krock.) Borb. – Anagalloides procumbens Krock.,0,Scrophulariaceae,Chữa đái ra máu (cả cây).,"Quảng Ninh, Hà Nội, Nam Định, Quảng Nam, Đà Nẵng. Cây mọc tự nhiên trên các ruộng, trên đất hoang ẩm.",I-XII
Dứa sợi,Agave sisalana Pers.,0,Agavaceae,"Chữa mụn độc, lở loét (Lá).",Cây nhập trồng,0
"Xoài nứt, Xoài nụt",Mangifera cochinchinensis Engl.,0,Anacardiaceae,Dùng như Xoài hôi.,"Thái Nguyên, Biên Hoà, Bình Dương. Cây thường được trồng.",III-V
Sung bầu,Ficus tinctoria Forst.f. ssp. gibbosa (Blume) Corn.,0,Moraceae,"Khai vị, viêm khớp (Vỏ). Cảm, sốt cao, lỵ (Rễ). Lợi sữa (Lá, vỏ sắc uống).","Lao Cai, Lạng Sơn, Tuyên Quang, Bắc Giang, Quảng Bình, Quảng Trị, Thừa Thiên Huế. Cây mọc tự nhiên ở các trảng ẩm và rừng thứ sinh.",1-4
Kiết rộng,Carex commixta Steud. – C. spatiosa Bott.,0,Cyperaceae,Chữa trẻ em kinh phong (cả cây).,"Hoà Bình (Chợ Bờ), Thừa Thiên Huế, Đà Nẵng. Cây mọc tự nhiên ở vùng núi, trung du; trong rừng, trảng cỏ, ven sông suối; độ cao dưới 700 m.",3-5 
"Muồng đỏ, Muồng tía, Khỉ pọi",Senna timoriensis (DC.) Irwin & Barneby – Cassia timoriensis DC.,0,Caesalpiniaceae,Giun sán (Quả). Vỏ chữa ghẻ.,Thanh Hoá. Cây mọc tự nhiên trên các vùng núi đá vôi,0
"Kim sương, Tiêu rừng, Ớt rừng, Vọt cày, Hang chang (Mường), Mán chỉ, Xoan đào, Cây méo, Chăm sao (Thái), Mác khèn, Mạy slam (Tày)",Micromelum minutum (Forst.f.) Wight & Arn. – Micromelum falcatum (Lour.) Tanaka,0,Rutaceae,"Chữa ho, hen, tê thấp, suy nhược thần kinh, chân tay co quắp (Rễ sắc uống). Đau họng (Vỏ cây ngậm). Cảm, rắn cắn (Lá). Rễ và lá sắc nước uống chữa kinh nguyệt không đều, sốt, tê thấp.","Cây mọc tự nhiên, phổ biến ở các đồi cây bụi, đồi cây thưa khá phổ biến ở Việt Nam.",IV-IX
Tía tô nhọn,Perilla frutescens (L.) Britt. var. acuta (Thunb.) Kudo,0,Lamiaceae,Dùng như Tía tô.,Cây trồng ở khắp nơi của Việt Nam.,IX-XI
"Trần mai cầm, Hu đay gai",Trema cannabina Lour.,0,Ulmaceae,Cầm máu vết thương (Lá).,"Hà Nội (Ba Vì), Hà Nam (Ninh Thái), Kiên Giang (Phú Quốc). Cây mọc rải rác trên các bãi hoang, ven đồi trọc.",III-IV; 5-6 
Chanh kiên,Citrus limonia Osb.,0,Rutaceae.,"Chữa ho, hen, nhức đầu, chóng mặt, tức ngực khó thở, đau mắt, phụ nữ tắc tia sữa, đau sưng vú (Lá, rễ, vỏ). Dịch quả giải nhiệt, chữa nôn mửa, kém ăn.",Cây trồng.,III-X
"Đuôi chồn, Đuôi chó, Co hàng ma, Huyên thảo chân thỏ, Đuôi chồn thân thỏ",Uraria lagopodioides (L.) Desv. – Hedysarum lagopodioides L.,0,Fabaceae,"Chữa tê thấp, sốt, trĩ, lỵ (cả cây sắc uống). Phụ nữ có thai không dùng được.","Cây mọc tự nhiên trong các bãi cỏ hoang, trảng cỏ và cây bụi, ven rừng rậm thường xanh, trong rừng tre nứa, rừng thưa cây họ Dầu và rừng thông, ở độ cao tới 2000 m",IV-X
"Tre ống điếu, Trúc phật",Bambusa ventricosa Mc Clure,0,Poaceae,"Trẻ em mất ngủ, nhiệt bệnh phiền khát (Lá non).",Cây trồng làm cảnh ở Việt Nam. Nguồn gốc từ Trung Quốc.,XII 
"Tỏi, Đại toán, Hom kía, Co sluốn (Thái), Sluôn (Tày)",Allium sativum L.,0,Alliaceae,"Kích thích tiêu hoá, chống viêm, kháng khuẩn, ăn uống không tiêu, xơ vữa động mạch, cao huyết áp, thấp khớp, trĩ nội, trĩ ngoại, đái tháo đường, viêm tá tràng.",Cây trồng.,VIII-XI 
"Săng lẻ, Bằng lăng ổi, Bằng lăng lông",Lagerstroemia tomentosa Presl.,0,Lythraceae,"Chữa ho, ỉa chảy, lỵ, dùng ngoài chữa vết thương, vết bỏng, hắc lào, ghẻ và sưng mủ da (Vỏ sắc uống).","Nghệ An, Thanh Hóa, Thừa Thiên Huế, Kon Tum. Cây mọc tự nhiên rải rác trong rừng thưa, ven rừng.","VI, 7-10"
"Chiêu liêu nước, Chiêu liêu cánh bướm",Terminalia calamansanai (Blume vel Blanco) Rolf – Gymbernatea calaman-sanai Blume,0,Combretaceae.,"Chữa iả chảy, lỵ (Vỏ quả).","Đồng Nai, Bà Rịa. Cây mọc tự nhiên trong rừng thưa.",V-XII
"Sung tây, Nhôi đàn, Cẩm mộc",Citharexylum spinosum L.,0,Verbenaceae,Lở ngứa (Lá giã xát).,"Cây nhập trồng ở Hà Nội, Tp Hồ Chí Minh. Nguồn gốc từ Trung Mỹ.",V-XI
Địa du,Sanguisorba officinalis L.,0,Hoa hồng (Rosaceae),"Chữa suy nhược, lợi tiểu hoá, mồ hôi trộm, di tinh.",Lao Cai. Cây nhập trồng,0
Bích trai bướm.,Cyanotis papilionacea Roem. & Schult.f. – Cyanotis burmanniana Wight & Arn.,0,Thài lài (Commelinaceae),"Chữa đau dạ dày (mỗi ngày ăn 7 lá trước khi đi ngủ) trong 7 ngày. Còn chữa ỉa chảy, dùng nhiều có thể gây táo bón.","Bắc Bộ, Đà Nẵng, Quảng Nam. Cây mọc tự nhiên nơi đất ẩm ven đường, ven rừng, bờ kênh rạch.",V – VII
Chè quẩy,Homalium cochinchinense (Lour.) Druce – Astranthus cochinchinensis Lour.,0,Flacourtiaceae.,"Chữa lậu, làm săn da (Rễ).","Quảng Ninh, Vĩnh Phúc, Hà Nam, Quảng Trị, Lâm Đồng, Ninh Thuận. Cây mọc tự nhiên trên đồi hoặc thung lũng của rừng già, ở độ cao 400 – 1500m.",VIII-XI
"Vác bao phấn đen, Vác lông mềm",Cayratia mollissima (Planch.) Gagnep. – Vitis mollissima Wall. ,0,Vitaceae,Sưng tấy (Quả).,"Đà Nẵng, Gia Lai, Lâm Đồng, Khánh Hòa. Cây mọc tự nhiên ở vùng đồng bằng.",V-X 
Cù đèn lông cứng.Tên gọi khác:  Ba đậu tuyến,Croton glandulosus L.,0,Thầu dầu (Euphorbiaceae),"Chữa dị ứng, mẩn ngứa (cả cây).","Quảng Bình, Quảng Trị, Thừa Thiên Huế, Đà Nẵng, Quảng Nam. Cây ưa sáng, mọc tự nhiên trên trảng thường xanh hay rụng lá, nơi đất khô cằn, ở độ cao 100-500 m.",VI – X
Sả ấn độ,Cymbopogon martinii (Roxb.) Wats.,0,Poaceae.,Cũng được dùng như Sả.,Cây nhập trồng,0
"Lục cong, Cỏ đuôi hổ, Cỏ mật nhẵn",Chloris virgata Sw.,0,Poaceae,"Chữa vàng da, vàng mắt và trị giun (cả cây).",Hải Phòng. Cây mọc tự nhiên.,I-XII 
Lan bắp ngô,Acampe rigida (Buch.-Ham. ex Smith) Hunt – Aerides rigida Buch.- Ham. ex Smith.,0,Orchidaceae,Bó gãy xương (cả cây).,"Hà Giang, Cao Bằng, Quảng Ninh, Hòa Bình, Ninh Thuận, Đồng Nai. Cây mọc tự nhiên, bám vào cây gỗ lớn trong rừng hoặc vách đá, ở độ cao 300-1.500 m.",VI-X
Dành dành bóng,Gardenia lucida Roxb – Gardenia resinifera Roth,0,Cà Phê (Rubiaceae),"Gôm được dùng chữa bệnh ngoài ra và diệt ruồi, sâu bọ.",Cây mọc tự nhiên khá phổ biến ở Đồng Bằng Sông Cửu Long.,Gần như quanh năm.
Bầu đất lá mác,Gynura bicolor (Willd.) DC.,0,Cúc – Asteraceae,"Chữa đau bụng kinh, băng huyết, ho ra máu, các vết thương chảy máu, lở loét lâu không liền miệng, trị lỵ amip, ho, dùng ngoài trị đòn ngã tổn thương (cả cây); phụ nữ sau khi đẻ bị ứ trệ đau bụng, băng huyết và sốt rét (rễ).","Cao Bằng, Nghệ An và Kon Tum.",Tháng 2 – 5. 
"Vọng cách, Cách núi, Cây cách",Premna corymbosa (Burm.f.) Rottb. et Willd. – Cornutia corymbosa Burm.f.,0,Verbenaceae,"Đau bụng, sốt, đầy hơi, hậu sản, vàng da, ỉa chảy, tê thấp, xơ gan, lợi sữa (Lá). Rễ chữa xuất huyết não, đau dạ dày.","Cây mọc tự nhiên, còn được trồng.",V-VII; 7-10 
"Bù dẻ tía, Bù dẻ hoa to, Chuối con chồng",Uvaria grandiﬂora Roxb. ex Hornem. – U. purpurea Blume,0,Annonaceae,Tổn thương ngoại khoa (Rễ).,"Thanh Hóa tới Quảng Nam. Cây mọc tự nhiên rải rác trong rừng thứ sinh, ở độ cao dưới 300 m.","IV-VI, 8-10"
Viễn chí nam,Polygala japonica Houtt.,0,Polygalaceae,"Ho, liệt dương, di mộng tinh (cả cây) – Phụ nữ có thai không được dùng.","Ninh Bình, Thanh Hóa. Cây mọc tự nhiên ở vùng núi.",IV-VII 
"Chu thư dày, Lan nhuỵ vòng",Peristylus densus (Lindl.) Santap. et Kapad – Coeloglossum densum Lindl.,0,Orchidaceae.,"Chữa trẻ em ăn không tiêu, cơ thể suy nhược, ỉa chảy, phong thấp, đau nhức xương (cả cây).","Đồng Nai, Lâm Đồng. Cây mọc tự nhiên vùng núi cao ở độ cao 1.500 m",0
Lãnh công xám,Fissistigma glaucescens (Hance) Merr. – Melodorum glaucescens Hance,0,Na (Annonaceae),"Chữa thống kinh, điều kinh, phong thấp đau xương, vết đánh sưng đau (Thân).","Sơn La (Mộc Châu: Chiềng Ve), Yên Bái, Quảng Ninh, Thanh Hoá, Gia Lai, Khánh Hoà. Cây mọc tự nhiên ở ven rừng thứ sinh, khá phổ biến ở vùng trung du.","V-VII, 8-10"
"Dong riềng đỏ, Ngải hoa đỏ",Canna warszewiczii A. Dietr.,Canna indica var.warszewiczi (A.Dietr.) Nb. Tanaka,Dong riềng (Cannaceae),"Theo kinh nghiệm người Dao, cây ngải đỏ được dùng làm thuốc chữa đau dạ dày, đau nhức xương và đau tức ngực. Có thể dùng cả cây hoặc cắt phần thân rễ, để tươi hoặc phơi khô uống.","Ở Việt Nam, hiện mới thấy phân bố tự nhiên và được trồng tại Mộc Châu – Sơn La. Ngoài ra, cây cũng được trồng tại huyện Võ Nhai – Thái Nguyên và Bắc Sơn – Lạng Sơn (nhưng không rõ nguồn gốc, có người nói trước đây mọc tự nhiên trong rừng).",gần như quanh năm
Bòi ngòi lớn,Hedyotis hedyotidea (DC.) Merr. – Sperma-coce hedyotidea DC.,0,Cà phê (Rubiaceae),"Chữa viêm dạ dày, ruột, trĩ, phong thấp, cảm, ho (cả cây).","Yên Bái, Hòa Bình, Thừa Thiên Huế. Cây mọc tự nhiên rải rác trong rừng thứ sinh.",III-VIII
Thuốc vòi,Gonostegia pentandra (Roxb.) Miq. – Pouzolzia pentandra (Roxb.) Benn.,0,Urticaceae,Thuốc trừ sâu.,"Ninh Bình, Thanh Hóa. Cây mọc tự nhiên dựa theo bờ nước.",VII-VIII; 9-11
"Trọng đũa mộc, Trọng đũa cao",Ardisia arborescens Wall. ex A.DC.,0,Myrsinaceae,Cây được dùng chữa bệnh phụ khoa.,"Nghệ An (Quỳ Châu). Cây mọc tự nhiên trong rừng rậm, rừng thưa, hoặc trên núi đá, ở độ cao 300-1400 m.",II-IX 
Hoàng liên gai núi cao,"Berberis kawakamii Hayata (Berberis brevisepala Hayata, B. formosana Ahrendt)",0,Hoàng liên gai-Berberidaceae,"Chữa rối loạn tiêu hóa, đau bụng, ỉa chảy, kiết lỵ, viêm dạ dày, mắt đỏ (thân, rễ).",Lào Cai (SaPa).,Tháng 4 – 11
"Mạy lai, Le lông trắng",Gigantochloa albociliata (Munro) Kurz – Pseudoxytenanthera albociliata (Munro) T.Q.Nguyen,0,Poaceae,Sốt rét (Rễ).,"Kon Tum (Đắk Glei), Bình Phước (An Lộc). Cây mọc tự nhiên trong rừng hỗn giao nhiệt đới, còn được trồng.",0
"Nhàu tán, Nhàu đỏ, Nghể bà, Cây gạnh, Dây ngón đất, Khau mắt ma (Tày)",Morinda umbellata L.,0,Rubiaceae,"Phong tê thấp, lỵ, sưng dái, mẩn ngứa, giun sán, đau dạ dày, sốt, ho, viêm gan cấp tính (cả cây sắc uống). Tẩy (Rễ sắc uống).","Cây mọc phổ biến ở cả vùng đồng bằng, trung du và miền núi",I-XII
Cỏ mủTên tiếng Việt: Đại kích,Euphorbia heterophylla L.,0,Họ thực vật: thầu dầu (Euphorbiaceae),"Chữa sốt rét, cam tích(Rễ). Xổ (Lá).",Cây được trồng làm cảnh phổ biến khắp nơi ở Việt Nam. Nguồn gốc từ vùng nhiệt đới Trung Mỹ.,VIII-X
Sầm lam,Memecylon caeruleum Jack.,Memecylon floribundum Blume,Mua – Melastomataceae,"Chữa đau mắt, bạch đới, ngộ độc.","Đồng Nai (Biên Hòa), Bà Rịa-Vũng Tàu (Bà Rịa, Côn Đảo).",Tháng 11 – 12. 
Bình vôi quảng tây,Stephania kwangsiensis H. S. Lo,0,Tiết dê (Menispermaceae),An thần. Nguồn nguyên liệu chủ yếu để chiết L-tetradydropalmatin.,"Hoà Bình, Lao Cai. Cây mọc tự nhiên ở rừng thứ sinh, vùng núi đá vôi ẩm. Loài phân bố hẹp, bị khai thác nhiều, đang bị nguy cấp. Đã đưa vào Sách Đỏ Việt Nam.",III-IV; 5-8
"Mùi tử quả, Tứ thư hồng",Tetrastigma erubescens Planch.,0,Vitaceae,"Rắn cắn, sốt phát ban, bổ gân cốt (cả cây gĩa uống, bã đắp).","Lao Cai, Thái nguyên, Vĩnh Phú, Kon Tum, Lâm Đồng. Cây mọc tự nhiên trong rừng ẩm.",VII-I
"Mai, Mơ hoa vàng",Prunus mume Sieb. et Zucc.,0,Rosaceae,"Được dùng chữa uất muộn tâm phiền, cam vị khí thống, mai hạch, khí, sang độc, tràng nhạc (hoa).","Cao Bằng, Hoà Bình. Cây trồng. Nguồn gốc từ Nhật Bản.",X – I; 4 – 7.
"Đỏm lông, Thổ mật, Dền dóc",Bridelia monoica (Lour.) Merr. – Cuytia monoica Lour.,0,Euphorbiaceae,"Thuốc an thần, điều kinh, giải nhiệt, giải độc. Chữa tê thấp, đau xương.","Quảng Bình, Quảng Trị, Thừa Thiên Huế. Cây mọc tự nhiên trong rừng thưa, trảng cây bụi, trảng cỏ quanh làng, ở độ cao tới 1000 m.",VII
Viết,Manilkara kauki (L.) Dubard,0,Hồng xiêm – Sapotaceae,"Làm thuốc gây nôn, thu liễm (rễ, vỏ); chữa bệnh mắt, khát nước, sốt bổ, sán lãi (hoa).",An Giang (Châu Đốc).,0
"Khà khu sẩu, Cúc lá cà, Cúc hồng leo",Vernonia solanifolia Benth.,0,Asteraceae,"Ho, mụn nhọt, phong thấp, đau nhức (Rễ). Lá chữa phù khi bị hậu sản. Hoa sắc uống giúp sáng mắt.","Bắc Cạn, Thái Nguyên, Hà Tây, Hoà Bình. Cây mọc tự nhiên trong các rừng thưa, đồi cây bụi, ở độ cao 300-1600 m.",III-IX 
"Ngâu rừng, Ngâu cánh",Aglaia pleuropteris Pierre,0,Meliaceae,Sốt rét (Lá).,"Đồng Nai, Vũng Tàu. Cây mọc tự nhiên trong rừng thưa, rừng tre nứa.",X-II
"Kiết thảo thắt, Re mác",Christia constricta (Schindl.) T.C. Chen – Lourea constricta Schindl.,0,Fabaceae.,Chữa ho (Lá).,"Khánh Hòa (Nha Trang), Ninh Thuận (Tháp Chàm, Cà Ná), Bà Rịa Vũng Tàu (Núi Đinh). Cây mọc tự nhiên ở các bãi đất hoang, trảng cây bụi, thường gặp ở ven biển.",IX-X
Ngọc nữ vảy,Clerodendrum glandulosum Lindl. – Clerodendrum colebroockianum Walp.,0,Verbenaceae,"Ho, phong thấp (Rễ).","Ninh Bình, Kon Tum, Lâm Đồng (Đà Lạt). Cây mọc tự nhiên trong rừng cây bụi, ven đường, ở độ cao 300-1.500 m.",8-12 
"Khố áo xiêm, Khố áo, Sĩ tư la hán quả",Thladiantha siamensis Craib,0,Cucurbitaceae,"Chữa bệnh ngoài da, viêm dây thần kinh, ghẻ ngứa (Lá). Viêm hầu họng, dạ dày lạnh đau (Rễ).","Cây mọc tự nhiên trong các savan cây gỗ ở độ cao 1200m của các tỉnh Lào Cai, Hà Giang, Hoà Bình.",0
"Hoa thơm, Chân kiểng, Giác đế",Goniothalamus chartaceus P.T. Li,0,Annonaceae,Chữa vết thương bầm dập (Lá).,"Quảng Ninh (Đầm Hà), Lạng Sơn (Hữu Lũng). Cây mọc tự nhiên rải rác trong rừng thứ sinh.",IV-VI; 7-8
Huyết phong đằng,Mucuna birdwoodiana Tutch.,0,Đậu (Fabaceae.),"Thuốc bổ máu, đau nhức gân xương, thông kinh nguyệt (Thân).",Thanh Hoá (Bến En). Cây mọc tự nhiên trong rừng rậm thường xanh.,I-VI
"Hoàng tinh hoa trắng, Hoàng tinh lá mọc so le, Hoàng tinh cách, Hoàng tinh lá mọc vòng, Co hán han, Khinh lài, Voòng trinh",Disporopsis longifolia Craib,"Polygonatum laoticum Gagnep., P. tonkinense Gagnep.",Mạch môn – Convallariaceae,"Chữa mệt mỏi, kém ăn, đau lưng, thấp khớp, khô cổ khát nước, ho ra máu, đau ngực, huyết áp thấp và suy nhược thần kinh, làm thuốc bổ, tăng lực (thân rễ – củ chế biến thục địa).","Lai Châu, Sơn La (Sông Mã), Lào Cai (Sa Pa), Tuyên Quang, Hòa Bình Mai Châu, Hà Nội (Ba Vì), Ninh Bình (Cúc Phương); cũng trồng trong chậu, vườn hoa.","Tháng 3 – 5, quả: Tháng 8 – 10. "
"Cúc hoa vàng, Kim cúc, Dã cúc, Cam cúc, Khổ ý, Hoàng cúc, Bióoc kim (Tày)",Chrysanthemum indicum L.,0,Asteraceae,"Chữa đau đầu, đau mắt, tê thấp, lợi tiểu, hoa lâu ngày (Hoa sắc hoặc ngâm rượu uống). vết thương sưng tấy (Lá, Hoa)",Cây trồng,XI-I
"Mạy đót hương, Sữa Maire",Alstonia mairei Levl. – Blaberopus mairei (Levl.) Ly,0,Apocynaceae,Vàng da sau khi sốt (Vỏ thân).,"Cao Bằng, Lạng Sơn, Hà Tây, Hoà Bình. Cây mọc tự nhiên ở rừng trên độ cao 700 – 1500m, thường gặp ở vùng núi đá vôi.",0
"Bồng bông to, Bông bông, Lá hen",Calotropis gigantea (L.) Dryand. ex Ait. f.,0,Thiên lý – Asclepiadaceae,"Chữa hen suyễn, phong hủi, giang mai, mụn nhọt, rắn cắn… (lá).","Hà Nội (Ba Vì, Thủ Pháp), Hà Nam (Phủ Lý), Ninh Bình (Nho Quan, Nghệ An (Quỳnh Lưu, Gia Lai (Ayun Pa, Cheo Reo, Phú Túc), Khánh Hòa (Nha Trang, Bà Rịa-Vũng Tàu (Bà Rịa).",Tháng 6 – 10. 
